,start,end,light,deep,rem,awakening,sj_id
146,2019-08-27 21:36:30,2019-08-28 06:53:30,335.0,48.0,72.0,48.0,4
147,2019-08-28 21:49:30,2019-08-29 06:58:30,332.0,26.0,84.0,36.0,4
148,2019-08-29 22:14:00,2019-08-30 06:11:30,304.0,54.0,53.0,33.0,4
149,2019-08-30 20:35:00,2019-08-31 07:00:30,357.0,70.0,68.0,40.0,4
150,2019-09-01 05:52:00,2019-09-01 09:25:30,125.0,12.0,38.0,13.0,4
151,2019-09-01 15:13:30,2019-09-01 16:17:00,,,,,4
152,2019-09-01 21:26:30,2019-09-02 07:47:30,353.0,104.0,90.0,40.0,4
153,2019-09-02 15:07:00,2019-09-02 16:17:00,,,,,4
154,2019-09-02 23:19:30,2019-09-03 06:37:00,306.0,46.0,25.0,35.0,4
155,2019-09-03 23:44:00,2019-09-04 07:06:30,232.0,59.0,84.0,20.0,4
156,2019-09-04 22:34:00,2019-09-05 09:13:30,382.0,95.0,84.0,51.0,4
157,2019-09-06 00:38:00,2019-09-06 05:39:00,160.0,35.0,59.0,23.0,4
158,2019-09-06 22:18:00,2019-09-07 09:07:30,402.0,114.0,54.0,42.0,4
159,2019-09-07 23:22:00,2019-09-08 09:09:30,290.0,107.0,100.0,47.0,4
160,2019-09-08 22:16:30,2019-09-09 07:43:00,372.0,59.0,54.0,49.0,4
161,2019-09-09 23:07:00,2019-09-10 06:52:00,252.0,53.0,69.0,35.0,4
162,2019-09-10 21:21:30,2019-09-11 07:22:00,317.0,108.0,97.0,57.0,4
163,2019-09-11 22:41:00,2019-09-12 08:38:30,381.0,50.0,67.0,54.0,4
164,2019-09-12 21:59:30,2019-09-13 08:08:30,343.0,89.0,94.0,61.0,4
165,2019-09-13 23:25:00,2019-09-14 07:12:30,241.0,58.0,98.0,50.0,4
166,2019-09-14 13:57:00,2019-09-14 15:09:00,,,,,4
167,2019-09-14 22:32:30,2019-09-15 08:17:00,335.0,110.0,67.0,58.0,4
168,2019-09-15 22:07:30,2019-09-16 07:03:30,286.0,65.0,87.0,40.0,4
169,2019-09-16 21:47:30,2019-09-17 07:33:30,310.0,94.0,105.0,50.0,4
170,2019-09-17 21:36:30,2019-09-18 02:04:30,152.0,22.0,30.0,18.0,4
171,2019-09-18 05:40:30,2019-09-18 10:16:30,191.0,11.0,17.0,26.0,4
172,2019-09-18 21:16:00,2019-09-19 08:23:30,365.0,82.0,100.0,51.0,4
173,2019-09-19 22:05:00,2019-09-20 05:58:30,258.0,72.0,76.0,39.0,4
174,2019-09-21 03:48:00,2019-09-21 09:19:30,199.0,24.0,65.0,35.0,4
175,2019-09-22 02:14:30,2019-09-22 10:26:30,265.0,76.0,85.0,43.0,4
